PARAMETER,NAME,REQUEST
S1_PID_2F_FuelTankLevel,Fuel_Tank_Level,02012F5555555555
S1_PID_05_EngineCoolantTemp,Eng_Coolant_Temp,201055555555555
S1_PID_0A_FuelPressure,Fuel_Pressure,02010A5555555555
S1_PID_0B_IntakeManiAbsPress,Manifold_Pres,02010B5555555555
S1_PID_0C_EngineRPM,Engine_RPM,02010C5555555555
S1_PID_0D_VehicleSpeed,Vehicle_Speed,02010D5555555555
S1_PID_10_MAFAirFlowRate,MAF_Airflow_Rate,201105555555555
S1_PID_11_ThrottlePosition,Throttle_Pos,201115555555555
S1_PID_5E_EngineFuelRate,Eng_Fuel_Rate,02015E5555555555
S1_PID_5C_EngineOilTemp,Eng_Oil_Temp,02015C5555555555
S1_PID_62_ActualEngTorqPct,Eng_Pct_Torq,201625555555555
S1_PID_42_ControlModuleVolt,Con_Mod_Volt,201425555555555
S1_PID_33_AbsBaroPres,Abs_Bar_Press,201335555555555
S1_PID_04_CalcEngineLoad,Cal_Eng_Load,201045555555555
S1_PID_0F_IntakeAirTemperature,Int_Air_Temp,02010F5555555555
